"GB" "gamma"
"GB42164" 1.93785055259863
"GB42163" -0.68231109451855
"GB42162" -0.250627582481013
"GB42161" 0.346329825053079
"GB42166" -0.479526356040592
"GB42167" 1.10169318157572
"GB42160" -1.00639655919392
"GB42168" -0.505258031577834
"GB42169" 0.297525324819285
"GB42170" -0.27815253067098
"GB42159" -0.317610747045433
"GB42157" 0.00042306993886805
"GB42171" -0.000150952244208124
"GB42172" 0.0144587687140907
"GB42174" -0.0224933549012053
"GB42175" -0.059739112844421
"GB42156" -0.169511183685332
"GB42176" 1.25192394657287
"GB42155" 0.304824973750149
"GB42177" -0.00627317976935624
"GB42153" 0.281485488636707
"GB42178" 0.109232506950481
"GB42152" 0.470319181360109
"GB42180" 0.0890805297991881
"GB42151" 0.469656462671994
"GB42181" -0.867350438783444
"GB42150" 0.412942140180864
"GB42149" -0.109512135059252
"GB42148" 1.17033579132444
"GB42182" 0.525915739717695
"GB42147" 1.35589210163552
"GB42183" 0.254959336477745
"GB42146" -0.274817786329895
"GB42184" 0.206589144176015
"GB42145" -0.256003433723939
"GB42186" 0.318793711104248
"GB42187" -0.27600745282885
"GB42188" 0.276281448290828
"GB42144" 1.64552891082785
"GB42189" -0.544142208530552
"GB42143" -0.136512711754047
"GB42190" -0.332657420463879
"GB42191" -0.160013244238536
"GB42142" -0.294796870192721
"GB42141" 0.388348251687998
"GB42192" -0.388704152951766
"GB42140" -0.550768374752214
"GB42193" -0.585587292737097
"GB42139" -0.0773627274964228
"GB42194" -0.342003633574587
"GB42138" 0.0821363167830788
"GB42195" -0.154117052904847
"GB45852" -0.288119820523505
"GB45853" 1.05253516933705
"GB45851" 0.459609360154372
"GB45854" 0.408984469135014
"GB45855" -0.276001509254452
"GB45850" 1.00593450786915
"GB45848" 1.11470876670217
"GB45856" 0.193524818066314
"GB45857" -0.814070048109236
"GB45859" -0.0153448801475737
"GB45847" 1.14321454420197
"GB45846" -0.317602794885415
"GB45845" 0.807061447404019
"GB45860" 2.62855878689036
"GB45844" -0.00645526800184399
"GB45843" 0.113536531483645
"GB45842" 0.449475804979826
"GB45841" 0.462823111345558
"GB45840" 0.415535818655103
"GB45839" 0.347959052026228
"GB45838" 2.20285826872856
"GB45861" -0.727303324650883
"GB45862" 2.37078242375401
"GB45863" 0.192396731810087
"GB45864" -0.175041357664335
"GB45837" -0.609243616213479
"GB45865" -0.301919547156715
"GB45836" -0.237874534831863
"GB45834" 1.59279854668786
"GB45833" 0.71036346351256
"GB45832" -0.0824075730916329
"GB45831" -0.0367116881395982
"GB45866" 0.301808151360854
"GB45830" 0.0575964204788544
"GB45867" -0.328320879816545
"GB45829" -0.198211491826088
"GB45868" -0.43966183739968
"GB45828" 0.0931899556483218
"GB45827" -0.30413490594085
"GB45869" -0.048055404595716
"GB45870" 0.283951180888159
"GB45826" -0.214661869338728
"GB45871" -0.269604968127791
"GB45825" -0.258506304658697
"GB45872" -0.33349733761996
"GB45873" 0.380959138265629
"GB45824" 0.179587110457269
"GB45874" 0.363031570688251
"GB45875" 1.0201741953824
"GB45823" -0.254865460519451
"GB45876" -0.606365023333767
"GB45822" -0.660486133998366
"GB45877" -0.435446278140103
