GB	cluster
GB55247	C6
GB55274	C8
GB55282	C7
GB55288	C2
GB55296	C8
GB55306	C4
GB55317	C8
GB55324	C3
GB55348	C2
GB55357	C7
GB55359	C2
GB55364	C3
GB55369	C6
GB55372	C2
GB55387	C5
GB55393	C6
GB55395	C3
GB55400	C3
GB55413	C1
GB55419	C2
GB55420	C2
GB55429	C3
GB55434	C1
GB55441	C2
GB55454	C1
GB55455	C1
GB55456	C6
GB55482	C5
GB55489	C3
GB55495	C6
GB55499	C8
GB55503	C3
GB55522	C3
GB55526	C1
GB55528	C3
GB55530	C1
GB55539	C1
GB55540	C2
GB55564	C1
GB55566	C1
GB55567	C3
GB55575	C2
GB55576	C3
GB55582	C6
GB55583	C3
GB55583	C4
GB55584	C1
GB55589	C1
GB55591	C3
GB55600	C3
GB55619	C3
GB55629	C2
GB55635	C5
GB55650	C5
GB55683	C5
GB55693	C4
GB55704	C7
GB55715	C3
GB55730	C3
GB55730	C3
GB55736	C7
GB55760	C1
GB55760	C8
GB55773	C6
GB55777	C8
GB55784	C6
GB55786	C3
GB55797	C3
GB55800	C2
GB55824	C8
GB55837	C3
GB55840	C5
GB55843	C7
GB55847	C3
GB55877	C2
GB55888	C3
GB55891	C7
GB55900	C4
GB55902	C2
GB55916	C2
GB55919	C2
GB55920	C3
GB55924	C2
GB55924	C2
GB55926	C4
GB55943	C1
GB55945	C1
GB55960	C2
GB55969	C1
GB55975	C1
GB55978	C5
GB56003	C4
GB56017	C7
GB56032	C4
