GB	cluster
GB43624	C8
GB43625	C8
GB43632	C7
GB43633	C6
GB43635	C2
GB43635	C2
GB43660	C3
GB43687	C3
GB43691	C5
GB43706	C1
GB43710	C4
GB43712	C8
GB43713	C8
GB43716	C3
GB43719	C3
GB43728	C3
GB43736	C7
GB43750	C8
GB43778	C3
GB43782	C4
GB43800	C6
GB43814	C3
GB43819	C2
GB43820	C6
GB43828	C6
GB43847	C7
GB43851	C3
GB43863	C2
GB43873	C1
GB43874	C6
GB43882	C4
GB43889	C1
GB43900	C4
GB43901	C6
GB43905	C1
GB43906	C3
GB43914	C2
GB43943	C5
GB43953	C5
GB43989	C5
GB44000	C1
GB44009	C1
GB44014	C4
GB44019	C5
GB44020	C3
GB44027	C1
GB44028	C1
GB44030	C8
GB44031	C2
GB44032	C5
GB44035	C4
GB44042	C3
GB44052	C1
GB44053	C7
GB44056	C1
GB44059	C6
GB44060	C5
GB44068	C4
GB44070	C4
GB44077	C1
GB44081	C4
GB44083	C5
GB44092	C7
GB44097	C4
GB44103	C8
GB44109	C2
GB44112	C6
GB44120	C7
GB44121	C8
GB44125	C1
GB44129	C3
GB44131	C3
GB44134	C2
GB44134	C2
GB44144	C1
GB44157	C1
GB44157	C1
GB44158	C1
GB44158	C2
GB44158	C2
GB44158	C3
GB44158	C7
GB44158	C7
GB44163	C4
GB44166	C7
GB44175	C7
GB44180	C5
GB44185	C6
GB44188	C8
GB44189	C5
GB44208	C1
GB44211	C8
GB44216	C2
GB44222	C7
GB44223	C1
GB44229	C3
GB44250	C7
GB44251	C1
GB44259	C1
GB44276	C1
GB44280	C6
GB44287	C1
GB44291	C5
GB44293	C1
GB44295	C3
GB44300	C2
GB44307	C6
GB44311	C3
GB44317	C5
GB44330	C3
GB44334	C4
GB44334	C6
GB44343	C7
GB44350	C6
GB44351	C1
GB44361	C3
GB44362	C3
GB44369	C6
GB44371	C3
GB44417	C5
GB44418	C2
GB44421	C1
GB44428	C6
GB44428	C7
GB44435	C2
GB44439	C1
GB44444	C2
GB44467	C4
GB44485	C3
GB44491	C4
GB44512	C1
GB44517	C6
GB44518	C7
GB44523	C1
GB44532	C3
GB44533	C1
GB44540	C6
GB44541	C1
GB44559	C6
GB44573	C1
GB44581	C1
GB44582	C5
GB44585	C8
GB44594	C1
GB44599	C6
GB44606	C5
GB44610	C2
GB44621	C2
GB44626	C4
GB44629	C1
GB44648	C3
GB44653	C2
GB44654	C4
GB44656	C7
GB44659	C4
GB44671	C4
GB44679	C8
GB44682	C1
GB44689	C8
GB44694	C7
GB44697	C4
GB44718	C5
GB44763	C6
GB44769	C3
GB44773	C6
GB44776	C7
GB44781	C3
GB44791	C1
GB44796	C3
GB44799	C3
GB44829	C4
GB44836	C3
GB44840	C5
GB44842	C1
GB44870	C6
GB44873	C7
GB44876	C1
GB44879	C3
GB44881	C1
GB44883	C1
GB44883	C8
GB44886	C3
GB44889	C1
GB44891	C3
GB44894	C7
GB44898	C1
GB44899	C5
GB44943	C4
GB44946	C6
GB44960	C2
GB44965	C8
GB44968	C4
GB44974	C7
GB44981	C6
GB44987	C2
GB44997	C1
GB45013	C2
GB45015	C6
GB45029	C3
GB45036	C3
GB45038	C2
GB45040	C1
GB45044	C3
GB45047	C2
GB45051	C3
GB45055	C3
GB45062	C1
GB45062	C8
GB45070	C3
GB45074	C2
GB45087	C2
GB45101	C1
GB45105	C1
GB45123	C2
GB45128	C1
GB45139	C7
GB45157	C3
GB45172	C2
GB45173	C1
GB45183	C1
GB45194	C7
GB45215	C4
GB45216	C3
GB45221	C8
GB45223	C5
GB45224	C7
GB45235	C4
GB45248	C8
GB45249	C6
GB45253	C5
GB45259	C2
GB45260	C1
GB45261	C4
GB45272	C4
GB45279	C6
GB45280	C1
GB45341	C1
GB45342	C2
GB45351	C1
GB45352	C5
GB45352	C6
GB45354	C2
GB45361	C8
GB45388	C4
GB45399	C1
GB45414	C8
GB45415	C1
GB45418	C7
GB45419	C2
GB45486	C4
GB45501	C2
GB45505	C8
GB45508	C4
GB45515	C5
GB45517	C8
GB45526	C2
GB45537	C2
GB45540	C3
GB45547	C8
GB45569	C6
GB45593	C7
GB45623	C1
GB45624	C5
GB45634	C4
GB45636	C1
GB45637	C4
GB45651	C7
GB45653	C4
GB45655	C3
GB45657	C5
GB45662	C1
GB45666	C1
GB45667	C2
GB45670	C1
GB45683	C3
GB45685	C1
GB45688	C3
GB45697	C4
GB45698	C1
GB45699	C8
GB45713	C2
GB45720	C1
GB45736	C4
GB45738	C1
GB45752	C3
GB45756	C7
GB45757	C2
GB45761	C1
GB45762	C4
GB45774	C1
GB45806	C2
GB45819	C6
GB45822	C1
GB45825	C1
GB45828	C3
GB45836	C6
GB45837	C1
GB45841	C7
GB45844	C7
GB45852	C8
GB45854	C8
GB45862	C1
GB45864	C2
GB45864	C2
GB45867	C1
GB45877	C2
GB45878	C1
GB45883	C3
GB45907	C4
GB45933	C8
GB45946	C6
GB45972	C3
GB46006	C4
GB46017	C2
GB46028	C1
GB46038	C4
GB46060	C3
GB46065	C1
GB46074	C8
GB46086	C8
GB46096	C7
GB46145	C3
GB46169	C2
GB46178	C4
GB46183	C1
GB46188	C4
GB46204	C1
GB46211	C5
GB46215	C2
GB46219	C2
GB46221	C7
GB46231	C1
GB46233	C5
GB46245	C8
GB46247	C5
GB46263	C2
GB46263	C7
GB46265	C1
GB46272	C3
GB46277	C3
GB46306	C1
GB46314	C3
GB46332	C8
GB46338	C4
GB46360	C1
GB46362	C3
GB46371	C3
GB46373	C5
GB46387	C3
GB46388	C7
GB46430	C6
GB46436	C2
GB46437	C4
GB46460	C4
GB46465	C3
GB46466	C6
GB46475	C6
GB46492	C2
GB46501	C6
GB46507	C3
GB46509	C1
GB46513	C3
GB46523	C1
GB46554	C7
GB46569	C8
GB46595	C6
GB46601	C2
GB46606	C3
GB46615	C5
GB46616	C1
GB46638	C3
GB46639	C4
GB46652	C1
GB46653	C5
GB46663	C8
GB46673	C5
GB46681	C4
GB46684	C3
GB46696	C3
GB46707	C8
GB46727	C6
GB46729	C7
GB46732	C6
GB46735	C5
GB46740	C2
GB46743	C1
GB46757	C7
GB46760	C5
GB46766	C1
GB46767	C4
GB46878	C4
GB46881	C6
GB46888	C8
GB46898	C1
GB46900	C6
GB46907	C2
GB46909	C4
GB46914	C8
GB46915	C2
GB46928	C2
GB46962	C2
GB46963	C1
GB46976	C6
GB46980	C8
GB46986	C5
GB47007	C1
GB47009	C3
GB47011	C5
GB47014	C7
GB47039	C4
GB47045	C5
GB47052	C3
GB47057	C3
GB47089	C1
GB47091	C5
GB47093	C3
GB47097	C2
GB47098	C6
GB47105	C1
GB47108	C1
GB47110	C2
GB47112	C1
GB47138	C3
GB47139	C3
GB47177	C4
GB47178	C4
GB47181	C5
GB47182	C7
GB47189	C2
GB47199	C2
GB47200	C6
GB47207	C8
GB47209	C2
GB47215	C8
GB47217	C2
GB47224	C3
GB47234	C5
GB47258	C3
GB47260	C1
GB47266	C8
GB47274	C2
GB47280	C2
GB47300	C5
GB47304	C6
GB47306	C1
GB47311	C8
GB47313	C2
GB47321	C4
GB47329	C1
GB47345	C6
GB47372	C3
GB47381	C6
GB47385	C3
GB47385	C4
GB47390	C6
GB47392	C3
GB47393	C2
GB47396	C4
GB47409	C2
GB47425	C1
GB47431	C4
GB47432	C2
GB47434	C2
GB47443	C2
GB47450	C4
GB47455	C1
GB47465	C1
GB47472	C4
GB47495	C1
GB47496	C2
GB47502	C8
GB47508	C3
GB47516	C3
GB47543	C6
GB47545	C5
GB47573	C2
GB47576	C2
GB47577	C6
GB47588	C7
GB47590	C4
GB47596	C1
GB47597	C8
GB47599	C3
GB47602	C5
GB47605	C8
GB47617	C4
GB47629	C8
GB47632	C1
GB47651	C3
GB47657	C1
GB47663	C7
GB47678	C8
GB47684	C2
GB47724	C5
GB47735	C7
GB47736	C6
GB47744	C1
GB47746	C7
GB47779	C3
GB47788	C2
GB47799	C3
GB47810	C4
GB47813	C6
GB47816	C3
GB47820	C1
GB47821	C5
GB47822	C8
GB47823	C2
GB47828	C3
GB47829	C1
GB47831	C1
GB47847	C3
GB47876	C3
GB47876	C3
GB47901	C1
GB47901	C2
GB47928	C8
GB47940	C8
GB47971	C4
GB47991	C8
GB47992	C1
GB47996	C3
GB48005	C3
GB48009	C6
GB48018	C2
GB48028	C4
GB48034	C8
GB48065	C2
GB48066	C6
GB48075	C1
GB48085	C7
GB48102	C8
GB48111	C2
GB48113	C6
GB48114	C7
GB48115	C2
GB48118	C3
GB48121	C3
GB48121	C3
GB48126	C4
GB48128	C8
GB48143	C2
GB48150	C1
GB48152	C6
GB48154	C3
GB48162	C3
GB48165	C3
GB48171	C4
GB48177	C1
GB48189	C4
GB48189	C7
GB48210	C1
GB48215	C1
GB48227	C4
GB48229	C3
GB48239	C3
GB48239	C3
GB48248	C2
GB48248	C7
GB48252	C6
GB48264	C6
GB48265	C6
GB48267	C1
GB48271	C1
GB48271	C3
GB48271	C3
GB48271	C3
GB48271	C7
GB48273	C1
GB48273	C7
GB48304	C6
GB48308	C2
GB48321	C4
GB48344	C4
GB48345	C7
GB48350	C8
GB48360	C4
GB48366	C8
GB48369	C8
GB48373	C3
GB48402	C2
GB48406	C1
GB48412	C2
GB48430	C1
GB48430	C6
GB48444	C2
GB48446	C3
GB48447	C7
GB48452	C6
GB48465	C7
GB48481	C2
GB48488	C1
GB48497	C3
GB48527	C6
GB48531	C1
GB48533	C1
GB48551	C7
GB48575	C6
GB48578	C2
GB48579	C3
GB48589	C8
GB48597	C5
GB48600	C1
GB48602	C2
GB48617	C8
GB48622	C2
GB48623	C2
GB48632	C5
GB48641	C7
GB48642	C7
GB48670	C1
GB48671	C4
GB48671	C5
GB48676	C5
GB48682	C6
GB48683	C1
GB48684	C3
GB48690	C4
GB48709	C2
GB48748	C3
GB48755	C2
GB48776	C7
GB48789	C6
GB48811	C4
GB48824	C8
GB48828	C1
GB48829	C3
GB48832	C4
GB48834	C2
GB48845	C6
GB48847	C1
GB48852	C2
GB48852	C3
GB48853	C1
GB48854	C1
GB48855	C2
GB48882	C1
GB48883	C6
GB48889	C8
