GB	connectedness	gamma
GB50498	2	TARG
GB45354	2	TARG
GB51332	3	TARG
GB46907	3	TARG
GB50348	3	TARG
GB48551	3	TARG
GB53699	4	TARG
GB48811	4	TARG
GB50679	3	TARG
GB47280	4	TARG
GB47434	3	TARG
GB52438	2	TARG
GB55945	4	TARG
GB42106	4	TARG
GB51625	3	TARG
GB45877	5	TARG
GB54555	4	TARG
GB50854	2	TARG
GB48951	3	TARG
GB50103	4	TARG
GB53923	4	TARG
GB47177	4	TARG
GB49944	3	TARG
GB44428	1	TARG
GB49622	4	TARG
GB53667	5	TARG
GB53790	3	TARG
GB54381	2	TARG
GB48755	4	TARG
GB43138	3	TARG
GB45047	3	TARG
GB49373	6	TARG
GB45418	3	TARG
GB47189	3	TARG
GB52429	4	TARG
GB50183	2	TARG
GB45569	1	TARG
GB53030	5	TARG
GB49628	4	TARG
GB42037	2	TARG
GB44689	2	TARG
GB48321	4	TARG
GB44371	2	TARG
GB43467	2	TARG
GB54223	3	TARG
GB43561	4	TARG
GB42479	5	TARG
GB51570	3	TARG
GB41843	3	TARG
GB44439	3	TARG
GB50042	3	TARG
GB49754	1	TARG
GB46231	3	TARG
GB51542	3	TARG
GB51029	3	TARG
GB52314	3	TARG
GB50074	2	TARG
GB42844	2	TARG
GB45215	4	TARG
GB42719	4	TARG
GB51526	5	TARG
GB53778	2	TARG
GB42753	3	TARG
GB42317	2	TARG
GB44188	3	TARG
GB52977	2	TARG
GB51994	3	TARG
GB43750	3	TARG
GB55840	5	TARG
GB43449	2	TARG
GB45280	6	TARG
GB48085	2	TARG
GB47602	4	TARG
GB44518	4	TARG
GB41294	4	TARG
GB50371	3	TARG
GB40473	3	TARG
GB44763	3	TARG
GB48852	7	TARG
GB48143	4	TARG
GB45653	2	TARG
GB46475	5	TARG
GB49090	4	TARG
GB53220	2	TARG
GB46569	2	TARG
GB54649	2	TARG
GB42773	3	TARG
GB40076	2	TARG
GB41137	3	TARG
GB54742	2	TARG
GB52250	3	TARG
GB45249	3	TARG
GB51709	5	TARG
GB47431	3	TARG
GB48955	3	TARG
GB49040	4	TARG
GB51900	3	TARG
GB54510	3	TARG
GB43376	5	TARG
GB48497	3	TARG
GB49623	4	TARG
GB42249	3	TARG
GB43271	5	TARG
GB44103	3	TARG
GB55773	1	TARG
GB51247	3	TARG
GB40875	3	TARG
GB42274	1	TARG
GB43441	2	TARG
GB46437	3	TARG
GB47901	7	TARG
GB51587	3	TARG
GB41798	3	TARG
GB48402	4	TARG
GB45738	5	TARG
GB54339	2	TARG
GB46684	2	TARG
GB55151	4	TARG
GB49490	3	TARG
GB48115	3	TARG
GB55074	4	TARG
GB45537	3	TARG
GB55165	5	TARG
GB50718	3	TARG
GB47940	3	TARG
GB46909	3	TARG
GB51534	2	TARG
GB42190	3	TARG
GB44056	3	TARG
GB49539	2	TARG
GB51718	3	TARG
GB45867	3	TARG
GB52164	2	TARG
GB53135	4	TARG
GB45139	3	TARG
GB48412	3	TARG
GB46501	3	TARG
GB47472	4	TARG
GB40151	4	TARG
GB43401	2	TARG
GB48444	4	TARG
GB54950	4	TARG
GB43736	4	TARG
GB55359	2	TARG
GB42159	3	TARG
GB51854	3	TARG
GB52710	1	TARG
GB49123	3	TARG
GB49884	2	TARG
GB48018	4	TARG
GB40559	2	TARG
GB55015	2	TARG
GB55441	3	TARG
GB46460	2	TARG
GB41389	3	TARG
GB40598	2	TARG
GB48345	4	TARG
GB43828	3	TARG
GB48923	3	TARG
GB40955	4	TARG
GB45183	4	TARG
GB54503	3	TARG
GB40802	1	TARG
GB48602	5	TARG
GB44120	1	TARG
GB47108	3	TARG
GB42224	4	TARG
GB49086	2	TARG
GB46430	3	TARG
GB51794	5	TARG
GB53270	3	TARG
GB52725	2	TARG
GB55847	4	TARG
GB46652	3	TARG
GB55924	4	TARG
GB53093	4	TARG
GB40577	5	TARG
GB46060	2	TARG
GB50336	5	TARG
GB50038	2	TARG
GB43266	4	TARG
GB49429	4	TARG
GB41063	4	TARG
GB46169	3	TARG
GB45852	2	TARG
GB49762	4	TARG
GB48005	2	TARG
GB54937	5	TARG
GB41032	1	TARG
GB40237	1	TARG
GB45547	3	TARG
GB46735	3	TARG
GB51499	5	TARG
GB55324	3	TARG
GB40523	5	TARG
GB44621	3	TARG
GB55456	1	TARG
GB55920	6	TARG
GB54091	4	TARG
GB50366	2	TARG
GB40555	2	TARG
GB41446	4	TARG
GB48452	2	TARG
GB42375	4	TARG
GB52239	2	TARG
GB53652	1	TARG
GB43874	2	TARG
GB42716	3	TARG
GB45505	2	TARG
GB44175	4	TARG
GB51756	3	TARG
GB41031	2	TARG
GB49426	2	TARG
GB48632	3	TARG
GB42919	3	TARG
GB47039	1	TARG
GB40562	3	TARG
GB50244	5	TARG
GB40057	4	TARG
GB47816	4	TARG
GB47215	4	TARG
GB52888	4	TARG
GB49026	3	TARG
GB45825	3	TARG
GB49038	5	TARG
GB43456	5	TARG
GB52614	3	TARG
GB44083	3	TARG
GB51597	5	TARG
GB48670	5	TARG
GB44559	3	TARG
GB46038	2	TARG
GB47684	2	TARG
GB54385	4	TARG
GB44582	3	TARG
GB45388	4	TARG
GB48162	2	TARG
GB47736	2	TARG
GB41489	2	TARG
GB44781	4	TARG
GB48465	3	TARG
GB48273	3	TARG
GB50849	2	TARG
GB43873	4	TARG
GB41663	2	TARG
GB44517	2	TARG
GB54341	2	TARG
GB52653	5	TARG
GB43851	4	TARG
GB49992	4	TARG
GB47345	4	TARG
GB52887	2	TARG
GB53233	3	TARG
GB47502	4	TARG
GB53012	5	TARG
GB47432	3	TARG
GB45836	4	TARG
GB41744	4	TARG
GB55455	3	TARG
GB51717	5	TARG
GB49769	6	TARG
GB46263	6	TARG
GB45044	3	TARG
GB41793	2	TARG
GB49399	3	TARG
GB51484	5	TARG
GB40308	3	TARG
GB48855	3	TARG
GB54254	5	TARG
GB54194	3	TARG
GB55926	1	TARG
GB51541	2	TARG
GB53582	8	TARG
GB50589	3	TARG
GB55693	1	TARG
GB46096	3	TARG
GB51644	4	TARG
GB54956	2	TARG
GB45415	3	TARG
GB40705	2	TARG
GB41064	3	TARG
GB52643	3	TARG
GB54684	3	TARG
GB48265	2	TARG
GB47590	4	TARG
GB40102	4	TARG
GB48671	5	TARG
GB43193	4	TARG
GB54557	2	TARG
GB44512	4	TARG
GB51106	5	TARG
GB49369	3	TARG
GB52773	3	TARG
GB55824	3	TARG
GB52458	4	TARG
GB52812	4	TARG
GB52315	3	TARG
GB45515	2	TARG
GB53043	4	TARG
GB47011	2	TARG
GB46898	4	TARG
GB42821	4	TARG
GB44158	15	TARG
GB49939	2	TARG
GB40843	4	TARG
GB46065	3	TARG
GB42720	4	TARG
GB47138	5	TARG
GB53953	3	TARG
GB46028	5	TARG
GB50357	3	TARG
GB42847	6	TARG
GB54958	3	TARG
GB41707	2	TARG
GB53288	2	TARG
GB50958	2	TARG
GB43338	3	TARG
GB46245	3	TARG
GB42109	4	TARG
GB51219	4	TARG
GB51977	3	TARG
GB45698	4	TARG
GB49281	2	TARG
GB46265	2	TARG
GB48066	1	TARG
GB48264	2	TARG
GB53420	4	TARG
GB44960	3	TARG
GB51503	4	TARG
GB53338	3	TARG
GB48177	5	TARG
GB43889	4	TARG
GB52499	5	TARG
GB55704	3	TARG
GB54856	3	TARG
GB48308	2	TARG
GB45946	3	TARG
GB46306	5	TARG
GB46760	3	TARG
GB44594	1	TARG
GB44293	4	TARG
GB50194	2	TARG
GB40780	2	TARG
GB45864	6	TARG
GB49082	4	TARG
GB48642	5	TARG
GB54435	3	TARG
GB53201	4	TARG
GB40794	3	TARG
GB48531	5	TARG
GB49541	5	TARG
GB51592	3	TARG
GB50621	3	TARG
GB45756	2	TARG
GB46332	3	TARG
GB40565	4	TARG
GB48600	4	TARG
GB46888	3	TARG
GB42354	3	TARG
GB48946	4	TARG
GB42323	1	TARG
GB54929	2	TARG
GB48853	5	TARG
GB50727	2	TARG
GB43660	2	TARG
GB44250	4	TARG
GB40909	3	TARG
GB55916	4	TARG
GB44189	2	TARG
GB40289	2	TARG
GB45623	3	TARG
GB54256	1	TARG
GB43905	4	TARG
GB55400	3	TARG
GB50925	3	TARG
GB40867	3	TARG
GB54699	6	TARG
GB42548	4	TARG
GB49297	2	TARG
GB40265	3	TARG
GB40306	4	TARG
GB55960	3	TARG
GB48929	2	TARG
GB49598	4	TARG
GB49548	2	TARG
GB43304	4	TARG
GB45361	5	TARG
GB55317	2	TARG
GB55419	5	TARG
GB50322	3	TARG
GB47304	3	TARG
GB43092	4	TARG
GB54205	4	TARG
GB45806	3	TARG
GB40231	3	TARG
GB50372	3	TARG
GB48304	1	TARG
GB53315	2	TARG
GB48832	3	TARG
GB55096	2	TARG
GB47313	2	TARG
GB55369	1	TARG
GB47657	3	TARG
GB48111	4	TARG
GB44077	2	TARG
GB55109	3	TARG
GB49538	5	TARG
GB51727	2	TARG
GB42039	4	TARG
GB50847	3	TARG
GB55454	4	TARG
GB40599	3	TARG
GB50764	3	TARG
GB50354	2	TARG
GB47821	3	TARG
GB52246	3	TARG
GB51455	3	TARG
GB49726	4	TARG
GB41367	1	TARG
GB46086	4	TARG
GB41781	3	TARG
GB47139	2	TARG
GB42457	6	TARG
GB55777	3	TARG
GB47876	8	TARG
GB43234	1	TARG
GB55978	5	TARG
GB44097	2	TARG
GB48446	4	TARG
GB42707	1	TARG
GB45486	6	TARG
GB55715	2	TARG
GB49943	4	TARG
GB44842	4	TARG
GB46980	3	TARG
GB47425	4	TARG
GB41668	3	TARG
GB52434	3	TARG
GB43236	2	TARG
GB53670	3	TARG
GB42911	3	TARG
GB48776	4	TARG
GB44573	3	TARG
GB45351	4	TARG
GB55348	2	TARG
GB47097	4	TARG
GB47629	4	TARG
GB45055	2	TARG
GB50128	4	TARG
GB40574	3	TARG
GB51190	3	TARG
GB54449	3	TARG
GB49535	3	TARG
GB50350	7	TARG
GB51910	4	TARG
GB52789	3	TARG
GB47209	3	TARG
GB54987	3	TARG
GB41152	3	TARG
GB40845	4	TARG
GB44943	3	TARG
GB48102	3	TARG
GB46915	3	TARG
GB41066	1	TARG
GB40071	5	TARG
GB50677	2	TARG
GB40944	5	TARG
GB54622	3	TARG
GB55296	3	TARG
GB51366	5	TARG
GB51014	2	TARG
GB53685	3	TARG
GB55784	1	TARG
GB46976	2	TARG
GB53877	4	TARG
GB45036	1	TARG
GB52918	4	TARG
GB42861	4	TARG
GB42934	4	TARG
GB42452	3	TARG
GB48406	3	TARG
GB50620	3	TARG
GB42499	4	TARG
GB50928	3	TARG
GB52706	3	TARG
GB47822	2	TARG
GB43914	2	TARG
GB54748	4	TARG
GB47181	3	TARG
GB46507	3	TARG
GB48889	3	TARG
GB41025	3	TARG
GB44211	4	TARG
GB41821	4	TARG
GB55001	5	TARG
GB45736	3	TARG
GB53316	3	TARG
GB53208	2	TARG
GB48748	3	TARG
GB41126	3	TARG
GB53729	4	TARG
GB40503	2	TARG
GB46681	3	TARG
GB49830	2	TARG
GB40782	4	TARG
GB50967	4	TARG
GB50515	4	TARG
GB53131	2	TARG
GB44311	1	TARG
GB49728	4	TARG
GB55003	4	TARG
GB49001	3	TARG
GB48150	4	TARG
GB54166	3	TARG
GB43624	4	TARG
GB53828	3	TARG
GB45419	3	TARG
GB53243	4	TARG
GB44421	2	TARG
GB47105	3	TARG
GB54311	4	TARG
GB50996	3	TARG
GB50746	2	TARG
GB54030	3	TARG
GB42648	3	TARG
GB43882	3	TARG
GB41718	5	TARG
GB42082	3	TARG
GB44109	3	TARG
GB41886	4	TARG
GB46017	6	TARG
GB51691	5	TARG
GB42691	3	TARG
GB40674	3	TARG
GB47311	4	TARG
GB54697	2	TARG
GB55495	1	TARG
GB47744	4	TARG
GB47831	3	TARG
GB50497	4	TARG
GB44718	4	TARG
GB55075	3	TARG
GB46247	5	TARG
GB43114	5	TARG
GB46900	2	TARG
GB40108	3	TARG
GB48894	2	TARG
GB45105	3	TARG
GB54916	8	TARG
GB53333	3	TARG
GB50289	7	TARG
GB45657	4	TARG
GB44334	2	TARG
GB52262	3	TARG
GB50257	3	TARG
GB51658	3	TARG
GB55082	4	TARG
GB47450	3	TARG
GB51622	2	TARG
GB44523	4	TARG
GB51512	2	TARG
GB44157	4	TARG
GB43176	2	TARG
GB42926	4	TARG
GB48034	3	TARG
GB41855	4	TARG
GB45070	4	TARG
GB53611	4	TARG
GB48617	4	TARG
GB44125	3	TARG
GB52916	2	TARG
GB50777	3	TARG
GB50158	2	TARG
GB40341	4	TARG
GB51427	4	TARG
GB45844	5	TARG
GB44444	3	TARG
GB45173	4	TARG
GB46178	4	TARG
GB51954	4	TARG
GB44776	4	TARG
GB43076	2	TARG
GB48248	3	TARG
GB52028	3	TARG
GB55288	3	TARG
GB40883	2	TARG
GB42233	1	TARG
GB43900	4	TARG
GB54994	3	TARG
GB53339	2	TARG
GB42613	4	TARG
GB50216	4	TARG
GB41869	3	TARG
GB53096	2	TARG
GB54974	3	TARG
GB49654	4	TARG
GB49320	5	TARG
GB54928	5	TARG
GB50189	3	TARG
GB52925	4	TARG
GB52778	3	TARG
GB50355	3	TARG
GB45015	2	TARG
GB40423	3	TARG
GB46615	3	TARG
GB53136	2	TARG
GB46663	2	TARG
GB50570	1	TARG
GB43606	2	TARG
GB40977	3	TARG
GB40626	3	TARG
GB43175	3	TARG
GB47735	3	TARG
GB45762	4	TARG
GB54087	4	TARG
GB48229	5	TARG
GB49959	4	TARG
GB56032	4	TARG
GB52729	4	TARG
GB40672	6	TARG
GB48575	2	TARG
GB40884	4	TARG
GB45216	3	TARG
GB44222	2	TARG
GB40629	4	TARG
GB48373	5	TARG
GB45761	3	TARG
GB43100	3	TARG
GB41385	3	TARG
GB42874	4	TARG
GB48488	3	TARG
GB51743	2	TARG
GB42786	4	TARG
GB44027	5	TARG
GB52753	3	TARG
GB49492	3	TARG
GB42383	4	TARG
GB40288	3	TARG
GB47110	3	TARG
GB44343	3	TARG
GB55584	4	TARG
GB43691	3	TARG
GB44891	5	TARG
GB42081	6	TARG
GB53184	3	TARG
GB54480	4	TARG
GB47178	3	TARG
GB49526	4	TARG
GB45883	5	TARG
GB51031	5	TARG
GB47274	4	TARG
GB41484	2	TARG
GB43819	4	TARG
GB41737	4	TARG
GB41667	4	TARG
GB48118	5	TARG
GB46673	3	TARG
GB52289	5	TARG
GB47091	3	TARG
GB44287	4	TARG
GB55969	5	TARG
GB49239	2	TARG
GB55530	3	TARG
GB47605	2	TARG
GB55975	3	TARG
GB51433	5	TARG
GB48622	4	TARG
GB44208	3	TARG
GB49638	2	TARG
GB41549	3	TARG
GB53707	6	TARG
GB55503	3	TARG
GB47678	3	TARG
GB54662	3	TARG
GB41907	1	TARG
GB49409	6	TARG
GB49924	1	TARG
GB50688	4	TARG
GB53086	4	TARG
GB42138	3	TARG
GB55567	4	TARG
GB40748	3	TARG
GB52353	2	TARG
GB54467	3	TARG
GB42663	3	TARG
GB41338	3	TARG
GB50375	4	TARG
GB48682	4	TARG
GB55009	4	TARG
GB48126	4	TARG
GB51866	3	TARG
GB54102	3	TARG
GB46362	3	TARG
GB45828	5	TARG
GB54846	4	TARG
GB53972	2	TARG
GB55800	5	TARG
GB42416	3	TARG
GB49807	3	TARG
GB48252	2	TARG
GB50870	3	TARG
GB47971	4	TARG
GB42206	2	TARG
GB54718	4	TARG
GB45774	3	TARG
GB46188	2	TARG
GB50944	5	TARG
GB45697	3	TARG
GB47543	1	TARG
GB47393	2	TARG
GB54677	3	TARG
GB52577	4	TARG
GB44879	6	TARG
GB50159	3	TARG
GB54478	3	TARG
GB55600	2	TARG
GB41376	3	TARG
GB53336	4	TARG
GB55786	2	TARG
GB49450	2	TARG
GB49047	3	TARG
GB48883	2	TARG
GB45526	4	TARG
GB53019	2	TARG
GB43625	4	TARG
GB48578	3	TARG
GB41694	4	TARG
GB52406	1	TARG
GB40489	5	TARG
GB47508	1	TARG
GB40648	4	TARG
GB46616	4	TARG
GB43635	3	TARG
GB50421	3	TARG
GB49046	2	TARG
GB51564	3	TARG
GB40765	4	TARG
GB52090	4	TARG
GB48589	3	TARG
GB41700	4	TARG
GB45352	5	TARG
GB55489	3	TARG
GB54886	7	TARG
GB44014	3	TARG
GB50864	4	TARG
GB47207	5	TARG
GB46595	1	TARG
GB53044	3	TARG
GB52470	2	TARG
GB44417	3	TARG
GB51703	2	TARG
GB49155	3	TARG
GB41469	3	TARG
GB47390	3	TARG
GB55900	2	TARG
GB42835	2	TARG
GB41388	4	TARG
GB41153	4	TARG
GB55526	4	TARG
GB52069	5	TARG
GB44829	2	TARG
GB48009	3	TARG
GB40908	2	TARG
GB40084	1	TARG
GB47465	3	TARG
GB47588	3	TARG
GB54244	5	TARG
GB48972	3	TARG
GB41485	3	TARG
GB54967	3	TARG
GB55629	3	TARG
GB54283	3	TARG
GB50215	5	TARG
GB43782	4	TARG
GB51426	3	TARG
GB47093	5	TARG
GB51440	3	TARG
GB41414	2	TARG
GB54698	3	TARG
GB46639	2	TARG
GB55589	2	TARG
GB54117	4	TARG
GB40225	1	TARG
GB44997	4	TARG
GB47495	4	TARG
GB48834	3	TARG
GB56003	5	TARG
GB53032	2	TARG
GB52983	3	TARG
GB46215	4	TARG
GB55020	3	TARG
GB53005	3	TARG
GB50524	4	TARG
GB46606	2	TARG
GB41672	4	TARG
GB43089	7	TARG
GB51518	3	TARG
GB42541	4	TARG
GB44541	4	TARG
GB44894	4	TARG
GB47829	2	TARG
GB46204	4	TARG
GB50779	3	TARG
GB41043	3	TARG
GB40089	3	TARG
GB46638	5	TARG
GB40901	4	TARG
GB51528	3	TARG
GB46183	4	TARG
GB54741	3	TARG
GB54572	4	TARG
GB54977	4	TARG
GB45221	2	TARG
GB49589	4	TARG
GB44659	2	TARG
GB49975	2	TARG
GB41232	3	TARG
GB51675	3	TARG
GB51045	1	TARG
GB47014	3	TARG
GB44362	5	TARG
GB45685	3	TARG
GB50591	1	TARG
GB44654	4	TARG
GB43633	3	TARG
GB53750	3	TARG
GB44009	3	TARG
GB47007	4	TARG
GB45720	3	TARG
GB42054	6	TARG
GB53589	3	TARG
GB43245	3	TARG
GB46727	3	TARG
GB54516	4	TARG
GB54676	2	TARG
GB54843	4	TARG
GB55274	3	TARG
GB47928	2	TARG
GB41029	3	TARG
GB42087	4	TARG
GB41523	3	TARG
GB53421	4	TARG
GB42376	4	TARG
GB52453	2	TARG
GB41157	4	TARG
GB47321	5	TARG
GB51700	3	TARG
GB43200	4	TARG
GB42997	4	TARG
GB42887	3	TARG
GB47381	3	TARG
GB53173	2	TARG
GB52036	3	TARG
GB40012	3	TARG
GB41909	3	TARG
GB40700	3	TARG
GB42584	2	TARG
GB40382	2	TARG
GB45624	3	TARG
GB52473	4	TARG
GB49438	4	TARG
GB49222	5	TARG
GB44028	4	TARG
GB54297	4	TARG
