GB	pattern
GB41218	C2
GB52475	C2
GB48091	C2
GB45460	C2
GB45573	C2
GB48011	C2
GB54067	C2
GB46100	C2
GB49198	C2
GB42517	C2
GB43373	C2
GB54520	C2
GB51453	C2
GB40373	C2
GB45204	C2
GB48593	C2
GB54558	C2
GB48637	C2
GB43423	C2
GB55950	C2
GB49820	C2
GB55776	C2
GB52089	C2
GB55690	C2
GB46778	C2
GB43318	C2
GB52128	C2
GB53290	C2
GB52022	C2
GB55310	C2
GB53600	C2
GB49003	C2
GB52961	C2
GB43587	C2
GB50544	C2
GB45916	C2
GB48801	C2
GB41271	C2
GB52335	C2
GB43536	C2
GB45467	C2
GB55861	C2
GB53213	C2
GB40854	C2
GB55200	C2
GB45962	C2
GB40121	C2
GB47714	C2
GB52898	C2
GB46803	C2
GB52901	C2
GB40002	C2
GB54061	C2
GB52572	C2
GB50398	C2
GB48934	C2
GB41102	C2
GB51879	C2
GB45767	C2
GB41748	C2
GB47288	C2
GB51245	C2
GB49143	C2
GB47824	C2
GB53638	C2
GB51827	C2
GB43501	C2
GB47643	C2
GB55131	C2
GB47981	C2
GB49212	C2
GB55177	C2
GB46293	C2
GB48724	C2
GB40623	C2
GB43700	C2
GB48568	C2
GB49482	C2
GB51006	C2
GB40219	C2
GB47003	C2
GB45671	C2
GB54008	C2
GB49747	C2
GB50464	C2
GB44150	C2
GB48504	C2
GB51267	C2
GB54898	C2
GB51388	C2
GB44529	C2
GB42788	C2
GB54025	C2
GB48921	C2
GB52031	C2
GB52117	C2
GB42503	C2
GB54559	C2
GB54403	C2
GB44833	C2
GB53526	C2
GB42906	C2
GB43948	C2
GB44956	C2
GB45630	C2
GB42406	C2
GB40587	C2
GB47952	C2
GB41914	C2
GB50081	C2
GB50644	C2
GB40418	C2
GB50492	C2
GB43682	C2
GB48458	C2
GB54247	C2
GB42642	C2
GB40300	C2
GB43413	C2
GB52068	C2
GB54007	C2
GB48701	C2
GB47559	C2
GB46868	C2
GB54284	C2
GB40855	C2
GB50665	C2
GB43760	C2
GB43484	C2
GB41404	C2
GB52160	C2
GB49938	C2
GB45080	C2
GB54948	C2
GB46105	C2
GB53728	C2
GB49213	C2
GB45964	C2
GB50541	C2
GB45379	C2
GB52945	C2
GB55064	C2
GB44855	C2
GB42605	C2
GB46671	C2
GB52545	C2
GB55725	C2
GB46891	C2
GB54323	C2
GB43083	C2
GB46807	C2
GB46546	C2
GB54671	C2
GB52276	C2
GB47988	C2
GB42936	C2
GB40176	C2
GB50790	C2
GB46381	C2
GB50467	C2
GB51382	C2
GB40111	C2
GB52312	C2
GB55670	C2
GB46329	C2
GB48802	C2
GB54099	C2
GB43774	C2
GB41526	C2
GB42344	C2
GB52297	C2
GB46685	C2
GB44377	C2
GB45468	C2
GB46380	C2
GB54023	C2
GB45793	C2
GB49204	C2
GB49254	C2
GB50783	C2
GB47738	C2
GB52897	C2
GB54878	C2
GB42283	C2
GB41537	C2
GB41563	C2
GB53106	C2
GB47793	C2
GB50786	C2
GB50781	C2
GB41560	C2
GB48015	C2
GB46588	C2
GB55887	C2
GB41696	C2
GB52921	C2
GB55180	C2
GB41575	C2
GB44042	C2
GB47982	C2
GB54463	C2
GB43033	C2
GB44637	C2
GB51384	C2
GB42421	C2
GB45941	C2
GB44954	C2
GB42059	C2
GB50182	C2
GB42108	C2
GB51855	C2
GB47340	C2
GB43773	C2
GB47911	C2
GB41963	C2
GB46228	C2
GB43065	C2
GB54481	C2
GB46670	C2
GB45706	C2
GB40968	C2
GB41091	C2
GB54157	C2
GB49822	C2
GB44161	C2
GB42888	C2
GB51386	C2
GB53993	C2
GB45579	C2
GB50703	C2
GB42299	C2
GB42896	C2
GB41478	C2
GB50484	C2
GB54895	C2
GB48703	C2
GB41996	C2
GB52127	C2
GB52219	C2
GB46872	C2
GB51770	C2
GB45594	C2
GB51936	C2
GB52132	C2
GB43382	C2
GB55018	C2
GB48725	C2
GB41542	C2
GB48388	C2
GB51925	C2
GB50676	C2
GB50547	C2
GB42991	C2
GB51312	C2
GB46668	C2
GB47787	C2
GB42256	C2
GB55733	C2
GB44851	C2
GB42102	C2
GB45550	C2
GB46110	C2
GB42105	C2
GB45750	C2
GB52295	C2
GB41380	C2
GB50306	C2
GB42955	C2
GB48984	C2
GB48067	C2
GB45619	C2
GB46791	C2
GB50684	C2
GB42117	C2
GB42389	C2
GB44194	C2
GB40737	C2
GB42916	C2
GB46098	C2
GB48839	C2
GB42506	C2
GB41532	C2
GB46811	C2
GB48697	C2
GB54821	C2
GB40952	C2
GB43996	C2
GB50775	C2
GB47926	C2
GB48615	C2
GB52277	C2
GB46723	C2
GB44471	C2
GB47403	C2
GB53252	C2
GB49002	C2
GB42003	C2
GB40257	C2
GB41072	C2
GB45605	C2
GB47921	C2
GB46109	C2
GB55471	C2
GB55599	C2
GB42007	C2
GB45940	C2
GB48702	C2
GB52329	C2
GB40190	C2
GB55338	C2
GB45890	C2
GB48285	C2
GB50706	C2
GB48895	C2
GB45464	C2
GB44645	C2
GB46556	C2
GB54415	C2
GB43671	C2
GB48296	C2
GB49825	C2
GB49256	C2
GB44195	C2
GB53903	C2
GB52440	C2
GB49005	C2
GB43267	C2
GB49011	C2
GB46324	C2
GB40990	C2
GB53584	C2
GB46999	C2
GB51877	C2
GB54238	C2
GB51873	C2
GB54712	C2
GB51458	C2
GB42107	C2
GB41928	C2
GB49252	C2
GB40172	C2
GB45894	C2
GB48184	C2
GB51460	C2
GB42908	C2
GB46092	C2
GB46103	C2
GB53980	C2
GB52415	C2
GB45577	C2
GB50563	C2
GB55320	C2
GB54824	C2
GB42001	C2
GB54077	C2
GB45901	C2
GB52221	C2
GB41956	C2
GB54708	C2
GB53175	C2
GB42127	C2
GB41552	C2
GB52862	C2
GB55126	C2
GB45450	C2
GB51454	C2
GB52389	C2
GB52196	C2
GB41006	C2
GB47490	C2
GB45893	C2
GB40290	C2
GB43992	C2
GB51179	C2
GB52839	C2
GB54491	C2
GB43488	C2
GB45201	C2
GB45338	C2
GB43645	C2
GB47642	C2
GB42289	C2
GB45104	C2
GB41092	C2
GB45006	C2
GB53198	C2
GB40820	C2
GB53218	C2
GB40921	C2
GB55738	C2
GB40413	C2
GB41394	C2
GB42782	C2
GB48878	C2
GB54645	C2
GB51320	C2
GB48879	C2
GB43489	C2
GB55308	C2
GB41456	C2
GB52401	C2
GB54567	C2
GB46384	C2
GB40450	C2
GB49075	C2
GB49950	C2
GB51392	C2
GB53542	C2
GB43644	C2
GB55915	C2
GB43590	C2
GB43592	C2
GB51824	C2
GB46871	C2
GB43335	C2
GB40242	C2
GB50019	C2
GB44887	C2
GB54375	C2
GB54079	C2
GB47529	C2
GB49455	C2
GB54902	C2
GB45718	C2
GB47697	C2
GB41943	C2
GB49065	C2
GB47684	C2
GB40179	C2
GB50424	C2
GB47862	C2
GB51007	C2
GB52099	C2
GB54060	C2
GB40841	C2
GB51270	C2
GB44668	C2
GB45320	C2
GB48502	C2
GB41853	C2
GB43680	C2
GB51028	C2
GB49442	C2
GB43363	C2
GB51151	C2
GB53056	C2
GB50403	C2
GB46134	C2
GB44911	C2
GB55134	C2
GB44843	C2
GB44375	C2
GB49542	C2
GB52874	C2
GB48877	C2
GB40468	C2
GB47690	C2
GB52342	C2
GB45552	C2
GB55125	C2
GB43610	C2
GB51135	C2
GB43982	C2
GB41461	C2
GB49635	C2
GB46551	C2
GB43608	C2
GB48612	C2
GB55942	C2
GB40817	C2
GB46101	C2
GB50073	C2
GB45896	C2
GB41059	C2
GB42734	C2
GB49889	C2
GB49316	C2
GB50755	C2
GB43262	C2
GB47173	C2
GB46336	C2
GB55028	C2
GB45729	C2
GB49857	C2
GB43405	C2
GB55179	C2
GB47085	C2
GB49034	C2
GB53842	C2
GB47369	C2
GB54826	C2
GB45112	C2
GB49205	C2
GB54621	C2
GB55117	C2
GB40755	C2
GB49610	C2
GB42387	C2
GB41325	C2
GB50754	C2
GB51184	C2
GB42120	C2
GB46191	C2
GB50768	C2
GB46841	C2
GB43491	C2
GB48119	C2
GB51839	C2
GB42504	C2
GB53951	C2
GB54713	C2
GB47170	C2
GB54154	C2
GB52561	C2
GB40226	C2
GB40245	C2
GB55197	C2
GB52054	C2
GB46519	C2
GB48282	C2
GB42594	C2
GB52818	C2
GB48969	C2
GB46470	C2
GB52371	C2
GB43763	C2
GB49745	C2
GB47898	C2
GB47168	C2
GB53904	C2
GB43532	C2
GB41638	C2
GB40092	C2
GB43068	C2
GB43011	C2
GB51373	C2
GB44236	C2
GB47759	C2
GB52388	C2
GB50654	C2
GB46838	C2
GB55256	C2
GB52382	C2
GB45572	C2
GB52465	C2
GB45801	C2
GB52412	C2
GB51476	C2
GB40665	C2
GB44393	C2
GB49763	C2
GB52366	C2
GB50611	C2
GB40666	C2
GB42902	C2
GB46830	C2
GB52926	C2
GB42913	C2
GB44945	C2
GB54945	C2
GB51393	C2
GB43518	C2
GB47560	C2
GB42556	C2
GB53545	C2
GB54487	C2
GB51404	C2
GB40736	C2
GB44666	C2
GB48506	C2
GB52319	C2
GB50487	C2
GB52681	C2
GB42388	C2
GB43146	C2
GB43972	C2
GB40034	C2
GB42258	C2
GB40177	C2
GB50416	C2
GB46010	C2
GB48548	C2
GB41652	C2
GB42361	C2
GB46530	C2
GB47013	C2
GB40530	C2
GB47002	C2
GB48495	C2
GB53585	C2
GB55727	C2
GB48069	C2
GB45576	C2
GB40003	C2
GB53733	C2
GB54306	C2
GB51823	C2
GB53282	C2
GB41556	C2
GB49267	C2
GB42438	C2
GB47317	C2
GB42609	C2
GB52125	C2
GB54304	C2
GB43724	C2
GB51319	C2
GB49015	C2
GB49229	C2
GB48479	C2
GB47522	C2
GB46840	C2
GB40622	C2
GB44392	C2
GB54405	C2
GB46434	C2
GB51921	C2
GB50300	C2
GB45786	C2
GB44230	C2
GB52501	C2
GB51972	C2
GB54352	C2
GB43588	C2
GB50431	C2
GB42533	C2
GB44234	C2
GB42305	C2
GB40036	C2
GB49052	C2
GB54577	C2
GB43351	C2
GB49277	C2
GB49508	C2
GB42404	C2
GB54409	C2
GB45586	C2
GB45097	C2
GB40258	C2
GB44563	C2
GB51293	C2
GB45747	C2
GB40527	C2
GB51960	C2
GB44696	C2
GB46484	C2
GB53342	C2
GB40965	C2
GB41013	C2
GB41612	C2
GB51147	C2
GB48553	C2
GB46351	C2
GB46875	C2
GB46358	C2
GB50726	C2
GB43461	C2
GB52050	C2
GB46938	C2
GB55113	C2
GB47053	C2
GB54022	C2
GB51946	C2
GB48013	C2
GB40370	C2
GB55138	C2
GB46009	C2
GB54566	C2
GB46808	C2
GB53772	C2
GB49742	C2
GB41508	C2
GB41056	C2
GB41819	C2
GB45483	C2
GB41551	C2
GB50647	C2
GB40050	C2
GB54873	C2
GB46695	C2
GB46428	C2
GB45608	C2
GB43374	C2
GB46937	C2
GB40961	C2
GB43862	C2
GB52444	C2
GB54857	C2
GB45234	C2
GB46969	C2
GB44963	C2
GB53810	C2
GB55153	C2
GB50821	C2
GB48990	C2
GB41787	C2
GB52173	C2
GB45578	C2
GB52599	C2
GB40791	C2
GB46406	C2
GB47101	C2
GB49224	C2
GB52518	C2
GB42342	C2
GB49618	C2
GB53399	C2
GB41728	C2
GB53982	C2
GB52865	C2
GB46399	C2
GB48696	C2
GB49385	C2
GB42575	C2
GB41023	C2
GB43057	C2
GB45048	C2
GB40664	C2
GB40094	C2
GB47777	C2
GB54418	C2
GB48427	C2
GB54374	C2
GB42946	C2
GB51010	C2
GB42912	C2
GB48053	C2
GB46715	C2
GB53099	C2
GB52394	C2
GB41493	C2
GB56037	C2
GB42073	C2
GB43780	C2
GB54128	C2
GB42176	C2
GB53620	C2
GB42126	C2
GB43028	C2
GB50215	C2
GB55682	C2
GB48857	C2
GB43107	C2
GB41255	C2
GB45186	C2
GB44294	C2
GB45045	C2
GB55780	C2
GB50086	C2
GB45449	C2
GB53079	C2
GB53039	C2
GB48779	C2
GB45249	C2
GB52048	C2
GB44575	C2
GB48433	C2
GB48188	C2
GB52783	C2
GB54569	C2
GB51540	C2
GB55710	C2
GB41848	C2
GB44992	C2
GB46439	C2
GB54098	C2
GB55479	C2
GB55979	C2
GB51003	C2
GB52873	C2
GB46430	C2
GB52603	C2
GB54055	C2
GB42497	C2
GB51055	C2
GB47465	C2
GB48379	C2
GB47090	C2
GB49430	C2
GB46074	C2
GB41443	C2
GB41980	C2
GB43977	C2
GB44539	C2
GB42498	C2
GB52591	C2
GB53622	C2
GB51078	C2
GB43177	C2
GB49690	C2
GB55882	C2
GB51112	C2
GB47604	C2
GB53621	C2
GB45198	C2
GB54919	C2
GB45522	C2
GB40510	C2
GB42812	C2
GB55884	C2
GB47202	C2
GB41801	C2
GB45513	C2
GB44190	C2
GB43551	C2
GB48599	C2
GB49352	C2
GB42499	C2
GB44233	C2
GB51900	C2
GB41490	C2
GB46208	C2
GB44703	C2
GB41802	C2
GB52549	C2
GB53241	C2
GB42777	C2
GB42188	C2
GB53018	C2
GB40070	C2
GB43842	C2
GB48780	C2
GB49102	C2
GB50679	C2
GB52250	C2
GB44289	C2
GB48824	C2
GB54381	C2
GB52419	C2
GB54103	C2
GB41157	C2
GB42831	C2
GB55794	C2
GB43539	C2
GB51802	C2
GB45380	C2
GB51094	C2
GB52593	C2
GB52749	C2
GB44530	C2
GB40595	C2
GB46508	C2
GB41151	C2
GB55365	C2
GB53539	C2
GB43640	C2
GB50336	C2
GB55716	C2
GB46582	C2
GB47473	C2
GB46194	C2
GB54914	C2
GB53819	C2
GB53005	C2
GB44189	C2
GB53409	C2
GB52909	C2
GB47884	C2
GB45838	C2
GB54421	C2
GB44345	C2
GB46064	C2
GB41489	C2
GB41330	C2
GB45262	C2
GB55149	C2
GB47322	C2
GB41589	C2
GB43151	C2
GB51206	C2
GB41393	C2
GB52803	C2
GB48929	C2
GB48245	C2
GB43540	C2
GB48781	C2
GB51977	C2
GB49759	C2
GB48956	C2
GB43434	C2
GB55150	C2
GB50235	C2
GB55683	C2
GB49160	C2
GB54654	C2
GB47397	C2
GB48606	C2
GB56007	C2
GB48809	C2
GB40766	C2
GB52646	C2
GB51496	C2
GB41336	C2
GB48626	C2
GB41285	C2
GB51992	C2
GB45200	C2
GB45266	C2
GB46890	C2
GB44349	C2
GB40029	C2
GB51915	C2
GB53229	C2
GB52636	C2
GB40435	C2
GB51983	C2
GB43978	C2
GB53393	C2
GB41925	C2
GB51663	C2
GB52848	C2
GB43771	C2
GB55327	C2
GB44659	C2
GB51004	C2
GB47038	C2
GB42273	C2
GB41780	C2
GB46086	C2
GB52011	C2
GB54341	C2
GB45202	C2
GB47589	C2
GB53655	C2
GB46131	C2
GB47555	C2
GB47236	C2
GB43278	C2
GB41250	C2
GB46398	C2
GB51887	C2
GB49991	C2
GB48605	C2
GB52710	C2
GB41954	C2
GB42692	C3
GB41441	C3
GB49585	C3
GB43870	C3
GB41303	C3
GB55831	C3
GB49973	C3
GB41907	C3
GB49606	C3
GB43548	C3
GB44417	C3
GB45639	C3
GB45433	C3
GB49495	C3
GB51615	C3
GB46589	C3
GB49024	C3
GB47590	C3
GB45730	C3
GB55639	C3
GB41150	C3
GB42088	C3
GB49554	C3
GB50723	C3
GB50296	C3
GB55827	C3
GB40539	C3
GB50709	C3
GB53219	C3
GB42537	C3
GB49583	C3
GB40882	C3
GB51201	C3
GB51065	C3
GB50356	C3
GB50917	C3
GB40576	C3
GB44749	C3
GB48810	C3
GB50158	C3
GB53000	C3
GB43558	C3
GB43559	C3
GB47650	C3
GB40492	C3
GB46845	C3
GB42696	C3
GB41631	C3
GB47227	C3
GB50873	C3
GB49220	C3
GB52512	C3
GB51359	C3
GB51038	C3
GB54979	C3
GB50817	C3
GB44147	C3
GB46985	C3
GB40875	C3
GB42057	C3
GB44127	C3
GB45369	C3
GB46565	C3
GB49688	C3
GB45612	C3
GB44205	C3
GB54145	C3
GB54854	C3
GB40967	C3
GB48362	C3
GB43225	C3
GB54743	C3
GB43629	C3
GB43004	C3
GB54255	C3
GB51301	C3
GB51354	C3
GB52724	C3
GB50184	C3
GB55318	C3
GB44764	C3
GB43537	C3
GB54817	C3
GB51528	C3
GB43401	C3
GB40856	C3
GB40857	C3
GB45852	C3
GB55096	C3
GB55378	C3
GB44039	C3
GB54168	C3
GB43115	C3
GB53341	C3
GB41674	C3
GB43188	C3
GB55961	C3
GB45910	C3
GB55473	C3
GB40670	C3
GB43093	C3
GB51278	C3
GB45399	C3
GB48598	C3
GB40057	C3
GB43788	C3
GB43778	C3
GB47382	C3
GB47380	C3
GB47504	C3
GB47505	C3
GB55411	C3
GB50986	C3
GB55797	C3
GB41520	C3
GB53834	C3
GB50303	C3
GB53815	C3
GB54835	C3
GB49029	C3
GB40306	C3
GB50866	C3
GB42178	C3
GB54477	C3
GB41358	C3
GB44930	C3
GB40795	C3
GB43223	C3
GB54664	C3
GB44160	C3
GB44442	C3
GB51356	C3
GB43095	C3
GB49095	C3
GB51108	C3
GB54131	C3
GB47610	C3
GB41604	C3
GB50101	C3
GB40769	C3
GB40076	C3
GB48163	C3
GB45153	C3
GB54687	C3
GB41818	C3
GB47629	C3
GB49728	C3
GB55782	C3
GB52468	C3
GB48512	C3
GB52722	C3
GB45731	C3
GB40939	C3
GB54851	C3
GB47274	C3
GB54986	C3
GB47551	C3
GB48155	C3
GB45324	C3
GB47614	C3
GB54973	C3
GB55680	C3
GB54977	C3
GB54984	C3
GB45704	C3
GB41243	C3
GB55667	C3
GB48419	C3
GB50473	C3
GB54164	C3
GB55547	C3
GB53627	C3
GB40457	C3
GB55016	C3
GB55895	C3
GB45653	C3
GB49234	C3
GB50627	C3
GB40514	C3
GB45250	C3
GB46899	C3
GB49552	C3
GB47538	C3
GB44206	C3
GB41901	C3
GB52258	C3
GB41972	C3
GB46921	C3
GB51993	C3
GB44608	C3
GB43935	C3
GB41806	C3
GB51063	C3
GB49320	C3
GB43786	C3
GB55070	C3
GB45157	C3
GB55139	C3
GB53708	C3
GB54774	C3
GB55736	C3
GB55295	C3
GB52107	C3
GB50037	C3
GB43446	C3
GB43330	C3
GB55119	C3
GB46083	C3
GB53212	C3
GB48814	C3
GB49739	C3
GB55423	C3
GB48068	C3
GB55449	C3
GB45115	C3
GB53946	C3
GB47541	C3
GB55451	C3
GB42049	C3
GB42624	C3
GB43187	C3
GB54358	C3
GB49972	C3
GB53754	C3
GB54175	C3
GB42595	C3
GB52610	C3
GB43422	C3
GB41673	C3
GB47712	C3
GB42048	C3
GB49496	C3
GB51277	C3
GB53460	C3
GB55966	C3
GB45496	C3
GB44064	C3
GB51298	C3
GB40311	C3
GB43284	C3
GB50693	C3
GB44029	C3
GB48062	C3
GB52230	C3
GB41061	C3
GB42433	C3
GB55636	C3
GB50687	C3
GB44370	C3
GB48154	C3
GB53546	C3
GB49993	C3
GB55605	C3
GB51758	C3
GB51920	C3
GB44374	C3
GB51572	C3
GB55377	C3
GB48931	C3
GB43325	C3
GB51737	C3
GB54359	C3
GB50179	C3
GB52211	C1
GB54355	C1
GB48794	C1
GB45797	C1
GB53929	C1
GB53415	C1
GB50675	C1
GB42482	C1
GB45145	C1
GB40997	C1
GB51736	C1
GB53012	C1
GB48241	C1
GB55600	C1
GB55355	C1
GB49979	C1
GB51666	C1
GB46296	C1
GB55302	C1
GB54949	C1
GB45174	C1
GB52106	C1
GB44178	C1
GB50702	C1
GB45437	C1
GB41549	C1
GB55527	C1
GB44259	C1
GB46673	C1
GB55786	C1
GB42501	C1
GB41606	C1
GB43089	C1
GB53512	C1
GB41282	C1
GB47949	C1
GB44648	C1
GB49998	C1
GB46151	C1
GB53397	C1
GB53396	C1
GB47009	C1
GB47880	C1
GB42385	C1
GB51622	C1
GB51621	C1
GB50327	C1
GB55520	C1
GB46128	C1
GB46129	C1
GB46130	C1
GB45651	C1
GB42422	C1
GB50224	C1
GB46091	C1
GB43475	C1
GB54174	C1
GB47014	C1
GB53014	C1
GB47955	C1
GB40565	C1
GB48699	C1
GB54777	C1
GB54778	C1
GB55791	C1
GB43077	C1
GB49872	C1
GB41468	C1
GB48913	C1
GB53879	C1
GB53077	C1
GB52975	C1
GB48262	C1
GB42152	C1
GB41413	C1
GB55578	C1
GB55577	C1
GB49548	C1
GB44796	C1
GB55189	C1
GB52742	C1
GB44254	C1
GB44253	C1
GB53126	C1
GB45107	C1
GB48251	C1
GB40077	C1
GB45947	C1
GB42156	C1
GB51188	C1
GB53148	C1
GB40189	C1
GB42567	C1
GB40694	C1
GB40693	C1
GB41227	C1
GB41945	C1
GB50890	C1
GB55878	C1
GB44564	C1
GB42495	C1
GB40139	C1
GB40567	C1
GB44798	C1
GB47845	C1
GB44791	C1
GB43015	C1
GB50558	C1
GB45715	C1
GB55910	C1
GB55590	C1
GB43207	C1
GB50232	C1
GB53124	C1
GB46771	C1
GB48027	C1
GB52721	C1
GB42224	C1
GB53451	C1
GB53441	C1
GB53450	C1
GB55703	C1
GB43119	C1
GB43906	C1
GB41930	C1
GB45909	C1
GB48760	C1
GB48889	C1
GB52331	C1
GB44709	C1
GB55886	C1
GB55888	C1
GB54410	C1
GB53787	C1
GB45531	C1
GB41694	C1
GB52829	C1
GB41214	C1
GB45414	C1
GB45985	C1
GB53325	C1
GB49291	C1
GB47407	C1
GB47486	C1
GB47408	C1
GB47507	C1
GB47483	C1
GB47506	C1
GB48425	C1
GB50117	C1
GB43234	C1
GB48608	C1
GB49466	C1
GB40980	C1
GB54181	C1
GB53807	C1
GB52266	C1
GB49908	C1
GB49907	C1
GB45724	C1
GB44914	C1
GB44913	C1
GB48497	C1
GB52427	C1
GB43054	C1
GB42011	C1
GB49757	C1
GB50373	C1
GB50455	C1
GB46257	C1
GB44117	C1
GB44939	C1
GB42706	C1
GB51550	C1
GB50892	C1
GB47316	C1
GB49865	C1
GB52269	C1
GB54722	C1
GB55467	C1
GB50877	C1
GB52973	C1
GB42000	C1
GB40648	C1
GB51044	C1
GB42607	C1
GB43716	C1
GB47617	C1
GB52039	C1
GB48999	C1
GB55712	C1
GB52424	C1
GB47941	C1
GB43097	C1
GB51611	C1
GB46757	C1
GB51195	C1
GB52278	C1
GB44214	C1
GB44213	C1
GB45883	C1
GB44387	C1
GB41378	C1
GB55186	C1
GB46663	C1
GB50434	C1
GB49076	C1
GB53979	C1
GB40907	C1
GB42168	C1
GB55239	C1
GB53830	C1
GB51487	C1
GB50526	C1
GB41372	C1
GB40749	C1
GB48382	C1
GB47652	C1
GB48789	C1
GB42196	C1
GB49999	C1
GB51729	C1
GB51210	C1
GB53926	C1
GB53923	C1
GB47975	C1
GB50011	C1
GB41152	C1
GB41735	C1
GB41590	C1
GB50516	C1
GB44021	C1
GB55393	C1
GB51436	C1
GB52172	C1
GB52171	C1
GB51041	C1
GB48919	C1
GB51940	C1
GB44121	C1
GB53782	C1
GB42787	C1
GB40282	C1
GB44567	C1
GB44566	C1
GB41352	C1
GB49268	C1
GB49708	C1
GB49276	C1
GB49541	C1
GB42408	C1
GB54533	C1
GB50251	C1
GB42603	C1
GB50099	C1
GB49963	C1
GB48109	C1
GB55574	C1
GB46113	C1
GB42303	C1
GB41894	C1
GB41893	C1
GB43602	C1
GB46436	C1
GB44163	C1
GB49852	C1
GB53516	C1
GB53524	C1
GB48244	C1
GB42150	C1
GB40504	C1
GB40899	C1
GB54886	C1
GB54868	C1
GB55635	C1
GB40278	C1
GB50142	C1
GB43879	C1
GB43877	C1
GB45654	C1
GB46596	C1
GB55375	C1
GB41936	C1
GB54904	C1
GB53354	C1
GB41815	C1
GB41811	C1
GB42351	C1
GB48229	C1
GB40678	C1
GB53139	C1
GB42637	C1
GB53927	C1
GB41646	C1
GB43133	C1
GB44628	C1
GB47527	C1
GB44116	C1
GB50261	C1
GB41628	C1
GB43228	C1
GB50602	C1
GB42565	C1
GB49983	C1
GB49982	C1
GB54343	C1
GB47931	C1
GB49227	C1
GB48560	C1
GB44271	C1
GB45023	C1
GB54511	C1
GB46118	C1
GB49373	C1
GB43111	C1
GB40336	C1
GB40335	C1
GB48832	C1
GB41103	C1
GB48966	C1
GB43304	C1
GB55481	C1
GB40134	C1
GB52238	C1
GB55483	C1
GB47566	C1
GB47556	C1
GB56012	C1
GB48272	C1
GB49901	C1
GB43302	C1
GB56009	C1
GB44133	C1
GB44074	C1
GB50742	C1
GB45051	C1
GB54204	C1
GB53401	C1
GB40332	C1
GB52469	C1
GB54446	C1
GB51800	C1
GB50769	C1
GB51683	C1
GB46039	C1
GB42226	C1
GB44311	C1
GB43618	C1
GB54524	C1
GB53370	C1
GB40696	C1
GB51390	C1
GB40897	C1
GB47693	C1
GB55347	C1
GB50111	C1
GB51057	C1
GB53529	C1
GB47619	C1
GB51948	C1
GB46229	C1
GB47318	C1
GB52333	C1
GB48139	C1
GB55867	C1
GB51196	C1
GB41307	C1
GB55980	C1
GB54849	C1
GB42572	C1
GB47255	C1
GB49215	C1
GB48390	C1
GB50916	C1
GB53369	C1
GB48734	C1
GB51944	C1
GB48288	C1
GB51859	C1
GB43603	C1
GB43864	C1
GB43721	C1
GB50711	C1
GB45130	C1
GB54737	C1
GB49271	C1
GB47790	C1
GB55218	C1
GB46531	C1
GB45481	C1
GB42573	C1
GB42766	C1
GB53629	C1
GB47220	C1
GB41558	C1
GB40328	C1
GB44026	C1
GB47534	C1
GB44993	C1
GB51153	C1
GB47692	C1
GB54445	C1
GB41833	C1
GB40375	C1
GB54636	C1
GB40620	C1
GB42101	C1
GB54670	C1
GB46352	C1
GB43986	C1
GB50500	C1
GB52495	C1
GB42524	C1
GB47705	C1
GB53260	C1
GB52225	C1
GB42008	C1
GB54740	C1
GB52899	C1
GB53121	C1
GB46104	C1
GB47653	C1
GB41615	C1
GB50773	C1
GB45965	C1
GB48793	C1
GB47130	C1
GB41020	C1
GB55195	C1
GB50315	C1
GB50798	C1
GB40912	C1
GB47858	C1
GB53984	C1
GB53767	C1
GB47786	C1
GB47778	C1
GB49693	C1
GB54710	C1
GB49512	C1
GB41955	C1
GB43341	C1
GB55719	C1
GB48856	C1
GB52287	C1
GB45799	C1
GB46781	C1
GB43582	C1
GB56038	C1
GB53786	C1
GB52130	C1
GB48180	C1
GB40101	C1
GB40317	C1
GB55758	C1
GB41991	C1
GB53158	C1
GB53964	C1
GB48292	C1
GB40127	C1
GB47155	C1
GB52622	C1
GB43294	C1
GB41475	C1
GB49036	C1
GB55868	C1
GB42129	C1
GB41550	C1
GB40621	C1
GB49144	C1
GB54892	C1
GB49925	C1
GB51549	C1
GB46827	C1
GB41054	C1
GB43600	C1
GB52450	C1
GB43533	C1
GB52296	C1
GB52891	C1
GB41021	C1
GB53390	C1
GB40143	C1
GB50791	C1
GB52871	C1
GB40093	C1
GB49592	C1
GB53521	C1
GB49855	C1
GB41145	C1
GB48654	C1
GB40585	C1
GB46236	C1
GB48096	C1
GB46374	C1
GB51443	C1
GB51574	C1
GB47034	C1
GB43383	C1
GB44015	C1
GB53161	C1
GB51437	C1
GB40325	C1
GB52263	C1
GB52972	C1
GB49724	C1
GB51311	C1
GB52864	C1
GB47853	C1
GB48611	C1
GB46227	C1
GB55728	C1
GB53259	C1
GB46666	C1
GB40188	C1
GB46806	C1
GB51438	C1
GB46456	C1
GB51939	C1
GB51378	C1
GB42617	C1
GB40314	C1
GB55732	C1
GB47710	C1
GB40011	C1
GB52176	C1
GB48742	C1
GB46572	C1
GB53759	C1
GB53507	C1
GB54709	C1
GB47165	C1
GB43327	C1
GB40051	C1
GB52866	C1
GB51451	C1
GB49009	C1
GB53902	C1
GB40195	C1
GB45600	C1
GB52369	C1
GB47068	C1
GB53899	C1
GB56008	C1
GB55654	C1
GB55485	C1
GB55429	C1
GB55287	C1
GB55238	C1
GB54947	C1
GB54946	C1
