GB	pattern
GB52697	C2
GB46206	C2
GB52413	C2
GB52397	C2
GB42588	C2
GB47984	C2
GB40186	C2
GB40194	C2
GB40198	C2
GB52392	C2
GB52377	C2
GB41775	C2
GB43269	C2
GB54761	C2
GB52878	C2
GB52880	C2
GB40672	C2
GB55013	C2
GB53138	C2
GB55566	C2
GB41883	C2
GB44759	C2
GB56035	C2
GB47178	C2
GB49159	C2
GB44156	C2
GB40342	C2
GB54314	C2
GB46440	C2
GB40247	C2
GB52812	C2
GB41266	C2
GB44512	C2
GB53954	C2
GB41634	C2
GB50197	C2
GB47352	C2
GB40780	C2
GB40782	C2
GB52774	C2
GB53279	C2
GB51723	C2
GB47396	C2
GB45555	C2
GB50194	C2
GB49433	C2
GB54831	C2
GB48127	C2
GB43519	C2
GB55223	C2
GB42494	C2
GB45661	C2
GB55625	C2
GB40489	C2
GB50268	C2
GB52085	C2
GB40387	C2
GB55306	C2
GB53055	C2
GB48466	C2
GB47201	C2
GB53656	C2
GB55933	C2
GB55828	C2
GB42770	C2
GB50804	C2
GB50807	C2
GB49948	C2
GB51624	C2
GB44449	C2
GB45866	C2
GB41711	C2
GB48293	C2
GB47724	C2
GB48405	C2
GB51539	C2
GB41359	C2
GB42998	C2
GB46748	C2
GB53770	C2
GB44165	C2
GB44877	C2
GB46986	C2
GB40267	C2
GB53201	C2
GB47176	C2
GB45740	C2
GB53256	C2
GB45886	C2
GB50920	C2
GB55062	C2
GB50355	C2
GB55932	C2
GB55595	C2
GB43815	C2
GB47552	C2
GB54344	C2
GB49975	C2
GB45635	C2
GB44586	C2
GB43420	C2
GB45179	C2
GB41858	C2
GB49573	C2
GB47605	C2
GB50688	C2
GB47960	C2
GB48674	C2
GB53154	C2
GB47390	C2
GB54916	C2
GB44897	C2
GB50094	C2
GB44907	C2
GB42849	C2
GB41423	C2
GB46876	C2
GB43178	C2
GB51564	C2
GB45743	C2
GB41169	C2
GB48986	C2
GB48988	C2
GB51924	C2
GB40427	C2
GB48619	C2
GB44646	C2
GB41745	C2
GB49418	C2
GB47649	C2
GB44705	C2
GB53027	C2
GB48974	C2
GB50886	C2
GB49451	C2
GB42452	C2
GB41969	C2
GB54176	C2
GB44990	C2
GB49589	C2
GB43697	C2
GB49156	C2
GB51692	C2
GB48323	C2
GB42821	C2
GB44389	C2
GB49556	C2
GB41968	C2
GB55645	C2
GB44786	C2
GB43279	C2
GB48552	C2
GB45781	C2
GB51484	C2
GB45013	C2
GB54526	C2
GB45171	C2
GB48566	C2
GB45737	C2
GB44996	C2
GB53957	C2
GB47141	C2
GB44016	C2
GB55914	C2
GB53749	C2
GB51080	C2
GB55523	C2
GB54978	C2
GB42693	C2
GB49389	C2
GB40624	C2
GB42531	C2
GB41741	C2
GB46167	C2
GB42945	C2
GB53909	C2
GB40269	C2
GB50727	C2
GB40320	C2
GB46387	C2
GB45114	C2
GB52658	C2
GB50663	C2
GB54961	C2
GB48925	C2
GB55038	C2
GB42755	C2
GB53019	C2
GB40507	C2
GB55892	C2
GB45434	C2
GB52728	C2
GB48308	C2
GB51042	C2
GB51086	C2
GB54242	C2
GB41444	C2
GB51702	C2
GB51208	C2
GB52010	C2
GB52672	C2
GB46916	C2
GB55846	C2
GB46050	C2
GB53328	C2
GB44753	C2
GB53180	C2
GB55967	C2
GB55576	C2
GB51719	C2
GB49097	C2
GB46788	C2
GB46679	C2
GB55913	C2
GB53683	C2
GB53916	C2
GB55641	C2
GB55360	C2
GB47973	C2
GB48191	C2
GB43888	C2
GB45281	C2
GB51937	C2
GB41392	C2
GB49295	C2
GB47250	C2
GB51064	C2
GB52058	C2
GB44056	C2
GB44594	C2
GB43427	C2
GB53829	C2
GB47132	C2
GB54085	C2
GB44339	C2
GB47485	C2
GB41442	C2
GB42720	C2
GB52436	C2
GB42897	C2
GB53650	C2
GB43794	C2
GB54587	C2
GB55775	C2
GB44824	C2
GB46494	C2
GB41360	C2
GB41798	C2
GB46120	C2
GB49716	C2
GB43541	C2
GB45949	C2
GB48852	C2
GB47463	C2
GB53910	C2
GB52472	C2
GB46011	C2
GB41651	C2
GB41592	C2
GB49304	C2
GB51333	C2
GB40019	C2
GB40118	C2
GB51895	C2
GB49429	C2
GB44757	C2
GB45562	C2
GB50998	C2
GB55512	C2
GB52500	C2
GB43632	C2
GB41913	C2
GB43478	C2
GB42758	C2
GB50374	C2
GB45534	C2
GB44653	C2
GB51199	C2
GB50849	C2
GB47462	C2
GB40147	C2
GB51508	C2
GB41136	C2
GB52994	C2
GB53171	C2
GB45924	C2
GB53402	C2
GB45526	C2
GB51257	C2
GB45348	C2
GB55977	C2
GB49597	C2
GB51710	C2
GB44439	C2
GB49037	C2
GB49943	C2
GB46247	C2
GB40360	C2
GB46567	C2
GB44828	C2
GB43088	C2
GB47103	C2
GB42862	C2
GB48750	C2
GB51398	C2
GB40276	C2
GB53826	C2
GB52613	C2
GB52516	C2
GB51077	C2
GB51755	C2
GB47837	C2
GB47828	C2
GB41066	C2
GB53849	C2
GB53191	C2
GB43638	C2
GB44743	C2
GB47707	C2
GB45624	C2
GB45074	C2
GB45443	C2
GB45557	C2
GB53729	C2
GB48052	C2
GB49042	C2
GB50154	C2
GB54467	C2
GB45376	C2
GB53242	C2
GB45727	C2
GB44543	C2
GB44942	C2
GB46747	C2
GB45528	C2
GB45978	C2
GB42448	C2
GB50513	C2
GB47453	C2
GB49040	C2
GB44595	C2
GB49222	C2
GB54342	C2
GB55439	C2
GB47125	C2
GB46052	C2
GB52023	C2
GB49888	C2
GB40248	C2
GB40286	C2
GB49878	C2
GB49894	C2
GB40285	C2
GB52855	C2
GB48430	C2
GB47752	C2
GB45155	C2
GB41975	C2
GB43479	C2
GB45077	C2
GB44900	C2
GB43002	C2
GB46148	C2
GB47575	C2
GB49934	C2
GB52911	C2
GB51226	C2
GB47194	C2
GB48620	C2
GB53096	C2
GB56036	C2
GB48337	C2
GB52513	C2
GB40461	C2
GB48366	C2
GB45926	C2
GB43480	C2
GB40901	C2
GB50438	C2
GB50439	C2
GB43670	C2
GB47903	C2
GB40446	C2
GB46298	C2
GB46311	C2
GB52529	C2
GB46766	C2
GB49841	C2
GB44462	C2
GB44464	C2
GB44210	C2
GB46102	C2
GB42929	C2
GB45937	C2
GB54279	C2
GB41446	C2
GB47189	C2
GB49083	C2
GB46246	C2
GB49087	C2
GB42478	C2
GB52693	C2
GB42629	C2
GB46619	C2
GB53247	C2
GB53881	C2
GB52604	C2
GB44656	C2
GB49749	C2
GB46190	C2
GB42230	C2
GB44987	C2
GB54033	C2
GB43270	C2
GB47100	C2
GB48659	C2
GB55717	C2
GB51995	C2
GB40831	C2
GB49383	C2
GB55454	C2
GB48874	C2
GB52259	C2
GB51358	C2
GB51735	C2
GB49348	C2
GB43007	C2
GB53654	C2
GB41600	C2
GB50270	C2
GB50311	C2
GB43236	C2
GB49481	C2
GB47409	C2
GB47392	C2
GB40858	C2
GB43902	C2
GB49516	C2
GB55456	C2
GB46646	C2
GB55984	C2
GB47310	C2
GB42691	C2
GB42966	C2
GB53707	C2
GB41533	C2
GB48247	C2
GB52684	C2
GB43834	C2
GB46745	C2
GB47285	C2
GB42375	C2
GB50661	C2
GB52536	C2
GB55494	C2
GB42562	C2
GB50918	C2
GB52029	C2
GB51658	C2
GB41761	C2
GB42039	C2
GB55525	C2
GB42159	C2
GB55626	C2
GB46408	C2
GB48748	C2
GB46273	C2
GB47573	C2
GB45826	C2
GB49859	C2
GB50651	C2
GB44086	C2
GB51656	C2
GB47577	C2
GB48533	C2
GB47489	C2
GB46000	C2
GB53723	C2
GB40113	C2
GB42634	C2
GB49988	C2
GB50712	C2
GB48384	C2
GB52671	C2
GB44531	C2
GB45058	C2
GB42216	C2
GB42655	C2
GB49448	C2
GB49725	C2
GB42664	C2
GB45337	C2
GB44300	C2
GB52012	C2
GB55662	C2
GB50032	C2
GB44524	C2
GB50947	C2
GB49032	C2
GB44103	C2
GB41579	C2
GB53617	C2
GB45222	C2
GB45223	C2
GB55082	C2
GB40810	C2
GB42669	C2
GB46735	C2
GB44350	C2
GB42468	C2
GB48511	C2
GB48128	C2
GB41902	C2
GB50392	C2
GB49458	C2
GB45702	C2
GB44287	C2
GB41024	C2
GB51996	C2
GB46014	C2
GB53339	C2
GB42677	C2
GB50623	C2
GB43750	C2
GB54217	C2
GB48536	C2
GB54951	C2
GB45146	C2
GB47965	C2
GB42133	C2
GB41663	C2
GB50653	C2
GB45822	C2
GB43160	C2
GB42140	C2
GB48356	C2
GB52246	C2
GB51495	C2
GB50181	C2
GB50305	C2
GB48776	C2
GB43069	C2
GB45083	C2
GB52711	C2
GB46744	C2
GB48623	C2
GB54784	C2
GB45119	C2
GB46493	C2
GB47114	C2
GB43695	C2
GB52118	C2
GB46274	C2
GB41875	C2
GB43340	C2
GB41609	C2
GB54044	C2
GB44670	C2
GB43565	C2
GB47238	C2
GB40445	C2
GB51771	C2
GB41143	C2
GB53029	C2
GB55071	C2
GB50728	C2
GB54981	C2
GB53128	C2
GB49643	C2
GB42022	C2
GB54972	C2
GB50984	C2
GB41810	C2
GB42252	C2
GB42398	C2
GB54049	C2
GB49498	C2
GB42454	C2
GB45825	C2
GB48928	C2
GB51009	C2
GB50255	C2
GB50105	C2
GB46606	C2
GB52676	C2
GB41080	C2
GB44432	C2
GB54266	C2
GB52750	C2
